,RF,TPR,FPR
0,0.0,1.0,0.875
1,0.05,1.0,0.7708333333333334
2,0.1,1.0,0.7291666666666666
3,0.15000000000000002,0.9807692307692307,0.625
4,0.2,0.9807692307692307,0.625
5,0.25,0.9807692307692307,0.5208333333333334
6,0.30000000000000004,0.9230769230769231,0.4166666666666667
7,0.35000000000000003,0.9038461538461539,0.2708333333333333
8,0.4,0.8653846153846154,0.20833333333333334
9,0.45,0.8653846153846154,0.20833333333333334
10,0.5,0.8461538461538461,0.125
11,0.55,0.8269230769230769,0.041666666666666664
12,0.6000000000000001,0.7884615384615384,0.020833333333333332
13,0.65,0.7692307692307693,0.0
14,0.7000000000000001,0.7115384615384616,0.0
15,0.75,0.7115384615384616,0.0
16,0.8,0.6730769230769231,0.0
17,0.8500000000000001,0.6153846153846154,0.0
18,0.9,0.6153846153846154,0.0
19,0.9500000000000001,0.5384615384615384,0.0
20,1.0,0.0,0.0
